Title,Date,User,Body,Rating
Favorite!,01/25/2019,SeanPBrennan,The NPR Politics podcast is by far my favorite podcast and source of political news. I look forward to every new edition. Thanks to the team for your excellent reporting! Keep it up!,5
"The medicine you need, with a spoon full of fun and sugar",01/25/2019,Otterkit,"I’m a real fan of this podcast. It’s a solid, engaging way to keep myself up on events without going crazy.",5
Stick to politics,01/26/2019,Greytpals,I love the show and have listened for years but I may have to stop. Talking about Zuckerberg allegedly slaughtering a goat made me consider never listening again. Stick to politics- that’s horrifying enough for all of us.,3
Casual discussion style with substance,01/29/2019,nursenanrn,"Great summary of the weekly events in “the weekly round up” and shorter podcasts when something new pops up (which is sometimes daily) to keep you informed. Love the casual discussion style, the panel presents you with both sides of an argument (although the hosts don’t hide their personal views) and I love that the intro every week is different and taken from callers! Give it a listen! There is no excuse not to stay informed and involved!",5
Tamara Keith Makes the Show!!!,01/30/2019,Wild Olive Shoot,"NPR is no longer your father’s Oldsmobile! Tamara leads intelligent, accurate, balanced, and fresh reporting in a fun and amusing fashion. Her innocent sweet charm comforts her fans like a big sister. She’s quick, witty, and just down right fun, but still sports an commanding mezzo tone. NPR definitely has a winner, here that’ll certainly shoot to the top.",5
"Like the show, starting to hate the intros",01/31/2019,Jonashelk,"I enjoy the main content of the show, but the intros are getting too long and silly. I appreciate involving you're audience in the show and it started fine, but no the timestamp intros are getting longer and longer, turning into small skits, and it seems to be snowballing fast.",3
Keeps me updated,01/31/2019,Kjerflena,I live overseas and have sometimes a hard time keeping up with the turn over and ins and outs of the current administration. NPR politics keeps me updated on whatever is going on.,5
Tattoos,02/01/2019,johnmmanderson,"Really not sure why you are making fun of woman with lower back tattoos, and calling them tramps. I really think you should get rid of the “can’t let it go” segment. Also, you should issue an apology. Once you do that I’ll change my review. Other then that, pretty informative.",2
Terrible,11/08/2018,meghan h r,"This is this most politically biased podcast out there. I know that NPR is typically liberal, but this takes it to a new level. Don’t listen to this show if you’re looking for general political updates as the reporters cannot control their liberally biased opinions. Mara Liassan is what gives reporters a bad name. So disappointed.",1
Helped get me over the finish line.,11/08/2018,PC Thugs,"So it’s npr. You know the hosts and guests know their stuff. They provide excellent analysis, make complicated issues understandable and they bring the funny.",4
Why do we fund this show ?,11/09/2018,SioneTuitaBMahe,WE need to defund NPR and PBS ! Why do conservatives have to pay into these shows when they spout their liberal bias everyday ? I can't think of one conservative show that liberals have to pay into. DEFUND !!!,1
November 12th Edition Review,11/13/2018,Les Cargo,"Team Gets it So Wrong Again
Canned Laughter aside.
Thanks so much team for your really in-depth reporting of.....you guessed it: the who's gonna be the next speaker of the house horse race!",2
